"room_id","survey_id","host_id","room_type","country","city","borough","neighborhood","reviews","overall_satisfaction","accommodates","bedrooms","bathrooms","price","minstay","name","last_modified","latitude","longitude","location","predicted_price","price_per_bedroom","normalized_price_per_bedroom","avg_price_per_bedroom"
18993086,1363,1314526,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",0,0,3,1,NA,134,NA,"PABS Résidences - Florastrasse 28 (5L)","2017-06-22 20:02:46.486379",47.361962,8.550082,"0101000020E61000008E3C1059A4192140873254C554AE4740",94.2669967550105,1.62471592404934,0.729411764705882,1.15787197389607
19081523,1363,5976839,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",0,0,4,2,NA,132,NA,"Beautiful 3.5rm apartment, near Idaplatz","2017-06-22 20:02:45.098267",47.377571,8.50989,"0101000020E6100000691D554D1005214082751C3F54B04740",176.742953330869,0.800233216322811,0.329411764705882,0.958496967772351
7384667,1363,2316695,"Entire home/apt",NA,"Zurich",NA,"Kreis 8",3,4.5,3,1,NA,127,NA,"Bright Apartment in Seefeld Zürich","2017-06-22 20:02:45.044491",47.356273,8.555165,"0101000020E610000087C43D963E1C214052B9895A9AAD4740",94.2669967550105,1.53984270413632,0.688235294117647,1.15787197389607
5094432,1363,19048937,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",5,4.5,3,2,NA,132,NA,"Charming & perfectly located 3 1/2 apartment","2017-06-22 20:02:43.211103",47.37795,8.529875,"0101000020E61000009EEFA7C64B0F2140F8C264AA60B04740",176.742953330869,0.800233216322811,0.329411764705882,1.0475354856734
1179802,1363,3072454,"Entire home/apt",NA,"Zurich",NA,"Kreis 4",115,5,2,2,NA,126,NA,"Zurich-heart of the city, 2,5 rooms","2017-06-22 20:02:43.206654",47.379287,8.535195,"0101000020E610000027F73B14051221402366F6798CB04740",176.742953330869,0.763858979217229,0.311764705882353,1.0475354856734
14310894,1363,3797899,"Entire home/apt",NA,"Zurich",NA,"Kreis 10",3,5,5,3,NA,132,NA,"Beautiful penthouse apartment in Zurich","2017-06-22 20:02:43.204332",47.401562,8.498934,"0101000020E610000095B9F94674FF20407EA8346266B34740",259.218909906728,0.533488810881874,0.2,0.855560213272917
15151479,1363,50348083,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",6,4.5,2,1,NA,106,NA,"Swiss Star Aemtlerstrasse - 1.5 room apartment","2017-06-22 20:02:38.396833",47.376767,8.510529,"0101000020E6100000B5519D0E64052140249BABE639B04740",94.2669967550105,1.28522304439724,0.564705882352941,0.958496967772351
15105051,1363,14192946,"Entire home/apt",NA,"Zurich",NA,"Kreis 5",10,5,3,1,NA,106,NA,"Flat in trendy area of Zürich","2017-06-22 20:02:38.382534",47.383651,8.530285,"0101000020E6100000641EF983810F2140F209D9791BB14740",94.2669967550105,1.28522304439724,0.564705882352941,1.08787573099284
8313532,1363,11909526,"Entire home/apt",NA,"Zurich",NA,"Kreis 2",0,0,2,1,NA,106,NA,"Modern & cosy city apartment","2017-06-22 20:02:37.255452",47.339342,8.528336,"0101000020E61000005299620E820E21406214048F6FAB4740",94.2669967550105,1.28522304439724,0.564705882352941,1.01930259240926
16372488,1363,3580507,"Entire home/apt",NA,"Zurich",NA,"Kreis 3",0,0,3,2,NA,116,NA,"Nice apartment close to the center!","2017-06-22 20:02:37.246171",47.371921,8.518684,"0101000020E6100000BCEA01F3900921400AD9791B9BAF4740",176.742953330869,0.703235250707925,0.282352941176471,0.958496967772351
