uuid,source,orig_id,datetime_local,year,month,day,hour,lat,lon,sequence_img_count,sequence_index,sequence_id,hFoV,vFoV,heading,Beautiful,Boring,Depressing,Lively,Safe,Wealthy,Bird,Ground.Animal,Curb,Fence,Guard.Rail,Barrier,Wall,Bike.Lane,Crosswalk...Plain,Curb.Cut,Parking,Pedestrian.Area,Rail.Track,Road,Service.Lane,Sidewalk,Bridge,Building,Tunnel,Person,Bicyclist,Motorcyclist,Other.Rider,Lane.Marking...Crosswalk,Lane.Marking...General,Mountain,Sand,Sky,Snow,Terrain,Vegetation,Water,Banner,Bench,Bike.Rack,Billboard,Catch.Basin,CCTV.Camera,Fire.Hydrant,Junction.Box,Mailbox,Manhole,Phone.Booth,Pothole,Street.Light,Pole,Traffic.Sign.Frame,Utility.Pole,Traffic.Light,Traffic.Sign..Back.,Traffic.Sign..Front.,Trash.Can,Bicycle,Boat,Bus,Car,Caravan,Motorcycle,On.Rails,Other.Vehicle,Trailer,Truck,Wheeled.Slow,Car.Mount,Ego.Vehicle,Total,url
0e83bf45-2449-49b8-8d0c-0e69ba21fb69,Mapillary,3314603305431056,2022-04-16 11:13:05.600000+02:00,2022,4,16,11,47.37753854860537,8.529585599899292,410,399,iZG8RvgaBlzqAN4bsTp7SC,70.10713417102895,43.07343974638684,35.07741097740643,6.98,1.49,4.38,8.61,1.53,3.9,0,0,37128,0,0,0,0,0,0,5010,7134,0,0,1360761,0,83289,0,722622,0,20061,0,0,0,0,9402,0,0,0,0,0,0,0,0,0,0,25896,0,0,0,0,0,3873,0,0,0,0,0,0,0,0,84,0,0,0,0,62886,0,945,0,0,0,0,0,0,0,2339091,https://www.mapillary.com/app/?focus=photo&pKey=3314603305431056
1d39d4c1-b430-406c-9470-f566cb77edcb,Mapillary,473048547718445,2022-08-12 19:40:16.500000+02:00,2022,8,12,19,47.3748939543045,8.541800379753113,500,226,MVQt1qXGr9pHjhLDOZYg4E,90.02223504283495,58.70230688085846,7.529726512139234,9.12,4.17,2.46,9.62,4.12,7.16,0,0,0,12504,0,0,58599,0,0,0,0,0,0,702585,0,0,0,342249,0,0,0,0,0,2313,57250,0,0,61494,0,25353,424374,0,0,0,0,0,0,0,0,0,0,0,0,0,2526,4812,0,0,0,0,0,0,0,0,0,339174,0,0,0,0,0,0,0,0,299773,2333006,https://www.mapillary.com/app/?focus=photo&pKey=473048547718445
8dad002a-ec3b-4252-89d0-bfa26974b75d,Mapillary,1180664932393955,2020-05-17 19:59:27+02:00,2020,5,17,19,47.3795219072893,8.546800017356873,53,319,jlpa70m3ov4pnl4wum2qgk,98.59631389612748,66.35382178194394,139.98861694336,8.97,2.98,0.66,9.09,6.14,7.05,0,0,55833,16362,0,0,46320,330,0,0,43047,0,0,874308,0,35433,0,513357,0,0,0,23657,0,0,20334,0,0,269931,0,1194,343359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17673,0,0,0,0,0,9876,3822,0,0,32492,0,295,0,0,0,0,0,0,0,2307623,https://www.mapillary.com/app/?focus=photo&pKey=1180664932393955
f88da577-bf66-466e-ba34-4f3b29353ffa,Mapillary,1539889476357346,2021-05-03 15:36:23+02:00,2021,5,3,15,47.37232188647295,8.532321453094482,194,490,ok1wcuk5f2hzemuws80grn,94.56884698689788,78.17556824958957,0,8.56,6.64,3.96,7.53,4.52,5.59,0,0,60144,0,0,0,0,0,0,0,11612,0,0,794108,0,574796,0,916644,0,19716,0,0,0,0,78816,0,0,255336,0,0,11480,0,0,0,0,19368,0,0,0,0,0,2112,0,0,0,0,0,0,0,0,0,0,0,0,0,341028,0,0,0,0,0,0,0,0,0,3085160,https://www.mapillary.com/app/?focus=photo&pKey=1539889476357346
8ab1f767-2d10-4668-b447-969f9b14343a,Mapillary,167743122325913,2022-04-16 10:44:52.252000+02:00,2022,4,16,10,47.37880630845518,8.531350493431091,500,455,860IWLAb1hVC2olwj7sPDm,66.49729511705588,40.48514188456429,311.8561662362663,5.68,2.91,2.31,7.69,6.57,5.13,0,0,5184,0,0,0,0,0,0,102555,0,0,0,306723,0,232824,0,409581,0,5490,0,0,0,797448,4668,0,0,70617,0,114,159465,0,0,0,0,6189,1230,0,0,0,0,0,0,0,0,100689,0,6462,1098,0,0,0,0,0,0,879,0,3666,0,0,0,0,0,0,0,2214882,https://www.mapillary.com/app/?focus=photo&pKey=167743122325913
795ebe70-a4ef-4d6b-89bb-614188c02f88,Mapillary,522783848751526,2019-12-14 15:50:01.759000+01:00,2019,12,14,15,47.371188393030025,8.531168103218079,119,47,ra8nuduxnq5t5oa3k20nau,66.28773161275487,52.1854468013303,28.391479492188,6.88,5.31,4.32,5.82,1.64,6.01,0,0,77992,0,0,0,310560,0,0,0,0,0,0,651500,0,324260,0,151536,0,128,0,0,0,0,0,0,0,1079400,0,0,200768,0,0,0,0,18476,0,0,0,0,0,0,0,0,10052,73172,0,560,0,0,10692,0,0,0,0,7564,0,0,0,0,0,0,0,0,0,2916660,https://www.mapillary.com/app/?focus=photo&pKey=522783848751526
116cf49d-474c-4fc9-be9c-2828c4e74b13,Mapillary,800085517282467,2016-03-10 17:39:35+01:00,2016,3,10,17,47.38285639712728,8.539949655532837,308,362,LLfruNAh9lpyP2QzX7qjng,90.794969981241,74.50445274376924,51,8.23,4.77,3.67,2.48,0.52,6.62,0,0,0,574152,0,0,557528,0,0,0,0,1168,0,82832,0,697372,44432,700,0,22020,0,0,0,0,6540,2420,0,639604,0,0,359044,18760,0,18096,0,0,0,0,0,0,0,0,0,0,128,3056,0,0,0,0,14492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3042344,https://www.mapillary.com/app/?focus=photo&pKey=800085517282467
d937d02a-5022-4825-aa2b-b158a2dcf9e4,Mapillary,1451519381949409,2022-04-15 15:51:29+02:00,2022,4,15,15,47.38208272709875,8.544509410858154,228,58,Berl2M9aXIzRLPSDcJHT4k,66.82551084821814,40.71777666566536,68.01205502925234,7.74,4.55,6.73,6.25,5.13,7.6,0,0,34296,57024,0,0,171450,0,0,0,0,0,0,950448,0,83418,0,389496,0,0,0,0,0,0,0,0,0,2472,0,0,585600,0,0,0,0,3291,0,0,0,0,0,0,0,0,0,2754,0,0,0,3603,0,0,0,0,0,28473,0,0,0,0,0,0,0,0,0,2312325,https://www.mapillary.com/app/?focus=photo&pKey=1451519381949409
1f49297d-9bbb-480b-8508-dae927da762a,Mapillary,217842153142337,2018-07-03 18:32:53+02:00,2018,7,3,18,47.37850117706469,8.546553254127502,84,306,rR1yQKi3RX2BLnDP8mWc6Q,NA,NA,157.96734619141,0.44,5.28,3.84,7.22,2.91,0.44,0,0,0,31646,0,0,0,0,0,0,0,0,0,9795,0,330155,991962,76782,0,0,0,0,0,0,0,0,0,80993,0,0,22459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343,0,0,0,0,1442,0,0,0,0,2155,0,144198,0,0,0,0,0,0,0,1692930,https://www.mapillary.com/app/?focus=photo&pKey=217842153142337
d5cbc84d-2c5e-437a-9cce-04757caf647b,Mapillary,1045650199373859,2022-04-16 15:38:00.300000+02:00,2022,4,16,15,47.37989968143691,8.526737093925476,48,492,26SEbhl1IURkLNfd5ZwCjr,67.5863908605729,41.25911819771054,112.70428966117476,6.73,3.88,2.18,9.14,6.49,6.19,0,0,64332,0,0,0,0,0,0,0,51552,0,0,885162,0,133215,0,1009677,0,0,0,0,0,0,16683,0,0,54441,0,0,22686,0,0,0,0,7311,0,0,0,0,0,0,0,0,0,1863,0,0,0,0,4449,6957,870,0,0,69306,0,12966,0,0,0,0,0,0,0,2341470,https://www.mapillary.com/app/?focus=photo&pKey=1045650199373859
