room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10130721,279,5582853,Private room,Switzerland,Zurich,,Kreis 3,0,,2.0,1.0,1.0,55.0,1.0,,2016-01-11 08:07:01.722407,47.369338,8.511274,0101000020E61000001897AAB4C5052140C495B37746AF4740
7497649,279,3572965,Entire home/apt,Switzerland,Zurich,,Kreis 4,1,5.0,2.0,1.0,1.0,99.0,5.0,,2016-01-11 08:06:57.678217,47.379176,8.516536,0101000020E6100000CF69166877082140CCB6D3D688B04740
9861242,279,50753703,Private room,Switzerland,Zurich,,Kreis 11,2,5.0,1.0,1.0,1.0,36.0,1.0,,2016-01-11 08:06:39.406766,47.418573,8.504743,0101000020E610000015C5ABAC6D0221408BFED0CC93B54740
8712997,279,28214726,Entire home/apt,Switzerland,Zurich,,Kreis 10,1,4.0,2.0,0.0,1.0,83.0,2.0,,2016-01-11 08:05:50.151073,47.402021,8.491612,0101000020E61000006EA46C91B4FB204011A7936C75B34740
946104,279,5126683,Private room,Switzerland,Zurich,,Kreis 3,79,4.5,2.0,1.0,1.0,72.0,2.0,,2016-01-11 08:05:46.497675,47.363486,8.519787,0101000020E61000009CC58B85210A2140E54691B586AE4740
6607028,279,34569524,Private room,Switzerland,Zurich,,Kreis 3,20,4.5,1.0,1.0,1.0,72.0,2.0,,2016-01-11 08:05:36.864838,47.37264,8.514077,0101000020E61000006840BD19350721403997E2AAB2AF4740
5604120,279,28878058,Private room,Switzerland,Zurich,,Kreis 5,0,,2.0,1.0,1.0,92.0,3.0,,2016-01-11 08:05:27.657938,47.386841,8.514895,0101000020E610000072BF4351A00721403FE0810184B14740
7588206,279,13570663,Entire home/apt,Switzerland,Zurich,,Kreis 1,15,4.0,2.0,0.0,1.0,93.0,,,2016-01-11 08:05:21.012262,47.370628,8.544695,0101000020E6100000E6965643E2162140AF7D01BD70AF4740
2868924,279,12886487,Entire home/apt,Switzerland,Zurich,,Kreis 7,3,5.0,,2.0,1.0,259.0,3.0,,2016-01-11 08:05:12.170985,47.364981,8.557274,0101000020E61000007CD28904531D2140A85489B2B7AE4740
7847643,279,18589061,Entire home/apt,Switzerland,Zurich,,Kreis 5,3,4.5,2.0,1.0,1.0,96.0,3.0,,2016-01-11 08:05:06.981372,47.382428,8.531199,0101000020E6100000F855B950F90F21408F899466F3B04740
