room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
13162730,1286,57194201,Entire home/apt,,Zurich,,Kreis 1,8,5.0,2,1.0,,220.0,,"Penthouse, 16th century",2017-05-18 17:43:17.465876,47.373148,8.54505,0101000020E61000009E5E29CB10172140AE484C50C3AF4740
610348,1286,3026473,Entire home/apt,,Zurich,,Kreis 11,40,4.5,7,3.0,,286.0,,"Duplex  Flat, 120 m2 7-8  persons",2017-05-18 17:43:17.413164,47.406495,8.553515,0101000020E6100000DEB06D51661B2140677E350708B44740
3683319,1286,18715465,Entire home/apt,,Zurich,,Kreis 8,24,4.5,6,3.0,,241.0,,B4  3bedroom in the heart of Zurich,2017-05-18 17:43:17.249903,47.362879,8.557277,0101000020E610000040A03369531D2140DDB3AED172AE4740
4222657,1286,17484617,Entire home/apt,,Zurich,,Kreis 8,15,4.5,4,2.0,,283.0,,"2-bedroom apartment, Lindenstrasse",2017-05-18 17:43:16.032357,47.359012,8.551947,0101000020E6100000294014CC981A21408F6FEF1AF4AD4740
9248507,1286,12886487,Entire home/apt,,Zurich,,Kreis 4,6,4.5,5,2.0,,241.0,,Stauffacher Apartment- Kuhn,2017-05-18 17:43:15.964163,47.377351,8.522516,0101000020E610000002469737870B2140730E9E094DB04740
13736251,1286,23561865,Entire home/apt,,Zurich,,Kreis 8,45,5.0,5,2.0,,187.0,,2BR apartment close to Bellevue SF8,2017-05-18 17:43:11.246289,47.362651,8.548785,0101000020E61000001B12F758FA1821404C6E14596BAE4740
13472042,1286,46707987,Entire home/apt,,Zurich,,Kreis 4,0,0.0,5,2.0,,198.0,,3 room apartment with an incredible view,2017-05-18 17:43:11.202244,47.382248,8.512026,0101000020E610000045679945280621400F7BA180EDB04740
15519676,1286,90399530,Entire home/apt,,Zurich,,Kreis 3,5,4.5,4,1.0,,188.0,,Charming & Stylish Apartment near City Center #102,2017-05-18 17:43:09.404697,47.358639,8.518227,0101000020E6100000F2CEA10C55092140FA08FCE1E7AD4740
8331947,1286,12886487,Entire home/apt,,Zurich,,Kreis 4,2,0.0,4,1.0,,199.0,,Badenerstrasse V Apartment,2017-05-18 17:43:09.388493,47.378396,8.514309,0101000020E6100000B2135E8253072140F777B6476FB04740
4306342,1286,22180995,Entire home/apt,,Zurich,,Kreis 2,0,0.0,2,1.0,,198.0,,"Top redeveloped, high standard 2,5 rooms apartment",2017-05-18 17:43:09.356160,47.349077,8.527049,0101000020E61000006DC7D45DD90D214095641D8EAEAC4740
6858968,1286,773469,Entire home/apt,,Zurich,,Kreis 8,1,0.0,2,1.0,,195.0,,Cosy flat in charming Seefeld,2017-05-18 17:43:09.313092,47.365199,8.54825,0101000020E610000062105839B418214015C440D7BEAE4740
18134234,1286,13666453,Entire home/apt,,Zurich,,Kreis 7,1,0.0,5,3.0,,194.0,,Cozy 4 room apartment with lakeview,2017-05-18 17:43:07.473565,47.372607,8.559337,0101000020E6100000B0E2546B611E21405EA10F96B1AF4740
13740005,1286,23561865,Entire home/apt,,Zurich,,Kreis 2,24,5.0,5,2.0,,187.0,,Very nice 2BD flat city center Enge (Wille 1),2017-05-18 17:43:07.419348,47.364915,8.533178,0101000020E6100000B4E4F1B4FC102140F168E388B5AE4740
17506390,1286,12886487,Entire home/apt,,Zurich,,Kreis 1,0,0.0,3,0.0,,178.0,,N4 - Apartment in the Old Town,2017-05-18 17:43:05.479538,47.375443,8.542527,0101000020E6100000DC645419C61521408D4127840EB04740
16196654,1286,50348083,Entire home/apt,,Zurich,,Kreis 11,1,0.0,4,2.0,,158.0,,Swiss Star Oerlikon - 2 bedroom apartment #01,2017-05-18 17:43:03.800660,47.408997,8.53986,0101000020E61000004DD6A88768142140C09481035AB44740
577683,1286,1240329,Entire home/apt,,Zurich,,Kreis 10,5,5.0,2,1.0,,168.0,,Elegant Spacious Garden-Suite ZHR,2017-05-18 17:43:03.775375,47.40419,8.495935,0101000020E61000002EE23B31EBFD204064AF777FBCB34740
6665772,1286,16703823,Entire home/apt,,Zurich,,Kreis 6,1,0.0,2,0.0,,158.0,,◽! STYLED SENIOR STUDIOS WEHNTALERSTRASSE,2017-05-18 17:43:03.671890,47.396887,8.539738,0101000020E610000020D1048A58142140919A7631CDB24740
4201758,1286,17484617,Entire home/apt,,Zurich,,Kreis 8,3,5.0,2,1.0,,168.0,,"1-bedroom apartment, Forchstrasse",2017-05-18 17:43:02.201305,47.359464,8.565907,0101000020E6100000AA27F38FBE212140700B96EA02AE4740
7642461,1286,16703823,Entire home/apt,,Zurich,,Kreis 6,1,0.0,2,1.0,,180.0,,◽! STYLED 1 BEDROOM APARTMENTS WEHNTALERSTRASSE,2017-05-18 17:43:00.326063,47.398143,8.540593,0101000020E61000009FE40E9BC8142140CF108E59F6B24740
7294825,1286,8273354,Entire home/apt,,Zurich,,Kreis 2,0,0.0,3,1.0,,156.0,,Charming Zurich home at the Lake,2017-05-18 17:43:00.313833,47.345937,8.533066,0101000020E61000001538D906EE102140F9BCE2A947AC4740
11612942,1286,46465899,Entire home/apt,,Zurich,,Kreis 11,1,0.0,2,0.0,,178.0,,Spacious and cosy studio for two,2017-05-18 17:43:00.309906,47.414693,8.545791,0101000020E6100000FBE6FEEA71172140A87004A914B54740
18576753,1286,35899012,Entire home/apt,,Zurich,,Kreis 9,0,0.0,3,1.0,,168.0,,Amazing 2.5 rooms in Zurich-City,2017-05-18 17:43:00.246899,47.388372,8.497096,0101000020E6100000E1F1ED5D83FE20404F57772CB6B14740
12636767,1286,4086531,Entire home/apt,,Zurich,,Kreis 3,11,5.0,5,2.0,,167.0,,Classy Apartment in Wiedikon,2017-05-18 17:42:58.536498,47.370642,8.513185,0101000020E610000074982F2FC00621401343723271AF4740
7741739,1286,40667302,Entire home/apt,,Zurich,,Kreis 3,1,0.0,2,0.0,,168.0,,Zurlinden Apartment 1,2017-05-18 17:42:58.524168,47.37704,8.509729,0101000020E610000044A51133FB04214055A4C2D842B04740
14332188,1286,46465899,Entire home/apt,,Zurich,,Kreis 11,1,0.0,2,0.0,,168.0,,New and ample 1-room-apartment,2017-05-18 17:42:56.857201,47.415019,8.544846,0101000020E61000007CB60E0EF6162140FC1BB4571FB54740
